                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.81456,                0.87792,                 1.2557,                0.69821,                0.62449,                0.64742,                0.36943,                 1.5252,                  1.556,                 1.7382,              0.0008912,              0.0008912,              0.0008912
                     59,                0.82976,                 0.8879,                 1.2712,                0.70938,                0.57959,                0.61315,                0.36138,                 1.5127,                 1.6647,                 1.7259,              0.0008714,              0.0008714,              0.0008714
                     60,                0.81897,                0.87218,                 1.2569,                0.71992,                0.57959,                0.63722,                0.36938,                 1.5402,                  1.572,                 1.7444,              0.0008516,              0.0008516,              0.0008516
                     61,                0.81679,                0.86607,                 1.2478,                0.70839,                    0.6,                0.62709,                0.35466,                 1.5375,                 1.6045,                 1.7333,              0.0008318,              0.0008318,              0.0008318
                     62,                0.80279,                0.85073,                 1.2451,                0.67295,                0.62151,                 0.6251,                0.36258,                 1.5171,                 1.5689,                 1.7243,               0.000812,               0.000812,               0.000812
                     63,                0.79755,                0.85166,                 1.2459,                0.72492,                0.62386,                0.64988,                 0.3823,                  1.463,                 1.6225,                  1.665,              0.0007922,              0.0007922,              0.0007922
                     64,                0.80113,                0.84993,                  1.247,                 0.6395,                0.64898,                0.62823,                0.35938,                 1.5291,                 1.6318,                 1.7237,              0.0007724,              0.0007724,              0.0007724
                     65,                0.80051,                0.83776,                 1.2426,                0.74206,                0.60816,                0.65652,                0.37313,                 1.5567,                 1.6797,                 1.7506,              0.0007526,              0.0007526,              0.0007526
                     66,                0.78395,                0.82088,                 1.2282,                0.65098,                0.59592,                0.61044,                0.34379,                 1.6168,                 1.6378,                 1.7872,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.8002,                0.82075,                  1.243,                0.68171,                0.64082,                0.63444,                0.36911,                 1.5538,                 1.6184,                 1.7582,               0.000713,               0.000713,               0.000713
                     68,                0.79031,                0.81936,                 1.2322,                0.69677,                0.63265,                0.62818,                0.37229,                 1.4983,                 1.5987,                  1.724,              0.0006932,              0.0006932,              0.0006932
                     69,                0.77705,                0.79923,                 1.2217,                0.68194,                0.61633,                0.61898,                0.36727,                 1.5562,                 1.6774,                 1.7731,              0.0006734,              0.0006734,              0.0006734
                     70,                0.77639,                0.79449,                 1.2197,                0.65433,                 0.6449,                0.61867,                0.34729,                  1.539,                 1.6575,                  1.761,              0.0006536,              0.0006536,              0.0006536
                     71,                0.76925,                0.78424,                 1.2145,                0.68322,                0.64264,                0.63592,                0.36693,                  1.536,                 1.6158,                 1.7663,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7565,                0.77596,                 1.2066,                 0.6624,                0.64898,                0.63203,                0.36229,                 1.6075,                 1.5999,                 1.8322,               0.000614,               0.000614,               0.000614
                     73,                0.75935,                0.77682,                 1.2084,                0.67103,                0.64108,                0.64265,                0.36647,                 1.5833,                 1.6254,                 1.7963,              0.0005942,              0.0005942,              0.0005942
                     74,                0.75893,                0.77076,                  1.211,                0.74686,                0.60212,                 0.6353,                0.36932,                 1.5619,                 1.6025,                 1.7838,              0.0005744,              0.0005744,              0.0005744
                     75,                0.75062,                0.75744,                 1.2022,                0.77051,                0.61633,                0.65813,                0.38191,                 1.5399,                 1.5553,                 1.7534,              0.0005546,              0.0005546,              0.0005546
                     76,                0.74719,                0.75072,                 1.2033,                0.75144,                0.56735,                0.63417,                 0.3675,                 1.5367,                  1.594,                 1.7563,              0.0005348,              0.0005348,              0.0005348
                     77,                0.75051,                 0.7454,                 1.1967,                0.73759,                0.62041,                0.63892,                0.37319,                 1.5545,                 1.5463,                 1.7718,               0.000515,               0.000515,               0.000515
                     78,                0.73718,                0.73857,                 1.1934,                0.73719,                0.63265,                0.64646,                0.37617,                 1.5326,                 1.5608,                 1.7453,              0.0004952,              0.0004952,              0.0004952
                     79,                0.73032,                0.72752,                 1.1832,                0.73513,                0.61174,                0.64109,                0.36528,                 1.6098,                 1.5783,                 1.8358,              0.0004754,              0.0004754,              0.0004754
                     80,                0.73649,                0.73658,                 1.1914,                0.72211,                0.62579,                0.63939,                0.37053,                 1.5967,                 1.5651,                 1.8315,              0.0004556,              0.0004556,              0.0004556
                     81,                0.72869,                 0.7189,                 1.1845,                0.71003,                0.63265,                0.63996,                0.37865,                 1.5439,                 1.5906,                 1.7643,              0.0004358,              0.0004358,              0.0004358
